AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.54,-0.79,0.21,-3.16,-5.85,-4.8
-0.58,-0.79,0.2,-8.75,-12.38,-2.24
-0.53,-0.78,0.22,-13.2,-5.75,2.02
-0.53,-0.8,0.23,-11.8,-10.38,1.26
-0.52,-0.77,0.22,-4.17,-9.26,8.05
-0.57,-0.78,0.21,0.22,-7.81,-4.28
-0.54,-0.81,0.19,-16.64,-23.65,7.94
-0.6,-0.81,0.15,-16.86,-18.79,12.77
-0.69,-0.84,0.02,-35.91,-39.44,33.23
-0.86,-0.95,-0.28,-72.55,-128.65,102.98
-1.34,-0.89,-0.44,-180.65,-252.14,215.98
-1.65,-0.7,0.01,-206.93,-140.3,236.57
-1.51,-0.75,0.53,-137.86,-64.03,250.92
-1.32,-0.52,0.68,-58.42,3.69,250.92
-1.3,-0.42,0.67,-48.62,65.53,234.49
-1.07,-0.27,0.62,-31.69,71.88,246.53
-0.9,-0.14,0.46,21.5,120.59,220.41
-0.87,0.24,0.6,-65.76,29.58,250.92
-0.69,0.27,0.59,1.73,17.84,250.92
-0.33,0.12,0.47,94.13,-8.15,250.92
-0.19,0.01,0.08,127.87,95.92,250.92
0.15,0.01,0.08,185.29,103.84,229.74
0.24,0.13,-0.11,69.9,69.39,248.04
0.76,0.06,-0.15,-20.66,-152.56,203.47
0.81,0.14,-0.59,30.07,-38.93,150.29
1.15,-0.04,-0.76,64.76,-67.87,223.8
1.72,-0.32,-0.79,-69.4,-107.18,101.56
1.22,-0.08,-0.72,-90.55,-61.66,-36.32
0.87,0.24,-0.47,71.87,85.32,19.68
0.77,0.2,-0.53,32.83,-13.4,25.87
0.84,0.14,-0.58,29.48,5.51,55.53
1.05,-0.07,-0.56,36.48,59.26,50.84
0.95,0.08,-0.42,-2.94,47.62,25.5
1.09,-0.04,-0.4,-31.23,42.73,3.65
1.1,-0.05,-0.43,-1.22,61.59,17.11
1.41,-0.19,-0.43,-52.11,73.76,-58.75
1.44,-0.18,-0.34,-46.92,145.95,-64.1
1.3,-0.11,0.13,-5.65,145.08,-89.4
1.19,-0.02,0.18,13.47,216.26,-114.36
1.26,0.02,0.32,49.27,124.15,-128.13
1.03,0.1,0.4,121.12,209.76,-154.12
0.79,0.17,0.37,131.12,147.15,-136.59
0.69,0.06,0.38,234.6,117.07,-155.19
0.24,0.04,-0.11,164.86,140.72,-176.47
0.23,-0.19,-0.31,250.69,110.08,-131.19
-0.25,-0.06,-0.71,250.69,7.66,-140.77
0.17,0.27,-1.38,250.69,153.8,-80.67
-0.5,0.71,-1.34,101.72,-60.47,-156.77
-0.47,0.91,-1.35,81.74,56.34,-10.89
-0.08,0.81,-1.45,-9.92,15.24,-7.68
-0.02,0.84,-1.24,16.94,7.31,11.23
-0.03,0.76,-1.01,-7.63,-10.66,1.49
-0.12,0.66,-0.81,-11.84,-7.21,-0.72
-0.08,0.61,-0.67,-7.48,2.38,10.49
-0.02,0.61,-0.72,-13.84,-22.85,9.4
0,0.61,-0.64,-2.14,-10.85,7.18
-0.01,0.62,-0.67,-5.66,-14.37,0.77
0.04,0.62,-0.74,10.9,-5.63,2.47
0.01,0.62,-0.7,5.56,-20.9,-6.02
0,0.61,-0.7,9.6,0.44,1.06
-0.21,-0.96,0.02,2.35,5.34,7.29
-0.27,-0.95,-0.02,1.42,14.97,3.09
-0.21,-0.96,0,0.09,-12.44,1.97
-0.27,-0.95,-0.04,6.57,-5.18,-0.01
-0.23,-0.97,-0.02,4.19,-14.29,-1.32
-0.26,-0.94,-0.06,8.18,-12.15,-0.89
-0.28,-0.96,-0.01,-4.46,-11.92,0.32
-0.22,-0.97,-0.04,-16.26,-26.15,10.31
-0.31,-0.98,-0.07,-4.46,-14.37,5.67
-0.48,-1.04,-0.4,-39.43,-54.32,44.35
-0.72,-0.95,-0.88,-105.09,-76.77,109.23
-0.98,-1.2,-0.75,-197.98,-184.78,153.62
-0.94,-1.15,-0.62,-196.25,-252.14,181.74
-1.13,-1.01,-0.39,-172.33,-220.54,192.27
-1.11,-0.9,0.3,-72.78,-174.53,222.9
-1.19,-0.47,0.27,-49.05,-2.26,200.94
-1.05,-0.3,0.26,-75.16,67.73,205.17
-1.05,-0.12,0.41,-119.61,165.28,203.08
-1.51,-0.05,0.26,-222.13,90.85,250.92
-1.09,-0.14,0.31,-138.52,49.92,250.92
-0.66,-0.11,0.06,-88.94,0.31,250.92
-0.44,-0.03,0.05,-9.11,10.34,250.92
0.04,0.08,-0.07,8.43,-47.2,250.92
0.33,0.11,0.02,-16.74,-16.76,250.92
0.43,0.15,-0.05,-73.59,-15.06,237.61
0.73,0.08,0.24,-43.17,13.38,245.5
1.16,0,-0.01,-28.65,104.46,214.09
1.43,-0.1,0.5,-35.97,201.36,198.72
1.63,-0.3,0.81,-78.59,119.5,105.43
