AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.52,-0.75,0.33,-1.73,-9.8,3.23
-0.52,-0.76,0.32,-6.04,-10.05,0.31
-0.53,-0.77,0.34,-13.62,-17.18,-0.64
-0.51,-0.77,0.32,-11.49,-20.5,-0.26
-0.53,-0.76,0.33,-9.1,-19.48,-0.55
-0.49,-0.79,0.33,-5.71,-15.54,1.38
-0.5,-0.77,0.34,6.43,-7.89,-0.89
-0.54,-0.77,0.32,-1.4,-11.09,2.91
-0.51,-0.8,0.37,-3.52,-20.02,2.81
-0.62,-0.84,0.28,-5.49,-53.8,15.78
-0.71,-0.9,0.15,-18.49,-138.42,55.15
-0.8,-0.95,0.17,-23.94,-157.57,81.55
-0.76,-1.02,0.35,-9.94,-226.35,83.18
-0.81,-0.89,0.34,-1.15,-142.86,89.63
-0.66,-0.85,0.81,0.73,-105.42,144.02
-0.55,-0.78,0.67,-25,-95.71,179.35
-0.54,-0.72,0.86,-40.61,-23.98,250.92
-0.64,-0.49,0.87,-105.07,-31,250.92
-0.83,-0.51,1.02,-157.4,22.48,250.92
-0.62,-0.44,1.06,-124.64,-49.41,250.92
-0.53,-0.27,1.03,-58.09,-6.93,232.06
-0.62,-0.04,1.05,1.22,-23.64,181.26
-0.54,0.11,0.92,38.89,6.76,145.1
-0.67,0.22,0.96,38.9,-19.42,125.4
-0.39,0.25,0.87,64.68,-35.48,103.78
-0.5,0.39,0.8,75.64,-31.98,89.28
-0.39,0.44,0.8,106,-7.21,82.75
-0.36,0.54,0.65,86.23,-58.02,75.82
-0.34,0.68,0.54,87.13,-44.36,95.26
-0.23,0.72,0.45,70.06,-54.71,91.01
-0.08,0.72,0.32,69.9,-38.74,87.6
0.03,0.74,0.34,85.54,-35.11,75.6
0.09,0.7,0.28,84.38,-8.03,66.23
0.22,0.63,0.11,91.5,-6.21,70.56
0.45,0.59,-0.03,90.56,14.61,66.35
0.63,0.65,-0.36,80.35,15.01,48.03
0.67,0.69,-0.41,-2.49,11.73,-9.23
0.63,0.76,-0.34,5.03,28.15,-9.31
0.59,0.83,-0.31,-15.93,37.9,-5.92
0.48,0.89,-0.12,7.93,11.55,-17.66
0.44,0.93,-0.05,14.2,37.69,-2.48
0.38,0.97,-0.08,4.59,5.94,-16.52
0.32,1.01,-0.06,-2.88,8.07,-16.21
0.29,1,0.03,-7.65,6.61,-4.21
0.34,1,0.01,-8.46,6.92,4.39
0.29,0.98,0.11,-9.36,-4.62,-3.24
0.35,0.96,0.06,-6.65,-4.98,-0.97
0.33,0.96,0.09,-6.37,-8.13,-2.81
0.36,0.96,0.13,7.12,-2.89,1.6
0.33,0.96,0,-1.77,-12.39,11.24
0.38,0.95,0.06,2.84,-11.18,7.59
0.37,0.96,0.03,-0.95,-4.57,-0.8
0.35,0.99,0.03,-1.31,-0.32,-2.11
0.38,0.96,0.07,-5.6,-4.18,-4.87
0.37,0.97,0.06,2.99,-6.13,-1.32
0.33,0.99,0.02,-3.68,-8.18,1.2
0.34,0.96,0.06,-2.57,-11.44,0.3
0.33,0.96,0.05,0.28,-8.37,-0.44
0.36,0.96,0.03,3.73,-9.84,1.13
0.37,0.96,0.02,1.84,-2.42,1.52
-0.35,-0.85,0.34,-10.95,-17.4,3.58
-0.33,-0.86,0.34,-7.78,-16.21,2.37
-0.35,-0.85,0.36,-4.69,-12.76,0.94
-0.36,-0.86,0.35,-7.75,-18.2,-0.03
-0.36,-0.86,0.35,-5.19,-22.53,0.18
-0.35,-0.86,0.33,-6.53,-16.79,2.16
-0.38,-0.87,0.34,-4.46,-13.12,1.23
-0.41,-0.9,0.26,-9.56,-17.98,8.84
-0.43,-0.92,0.19,-15.77,-28.35,14.58
-0.34,-0.98,0.11,-39.65,-40.51,9.18
-0.5,-0.99,0.11,-37.39,17.89,1.57
-0.62,-1.03,0.11,-42.61,-15.38,5.8
-0.68,-1.13,0.19,0.2,-44.47,-1.03
