AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.27,-0.94,0.15,-4.54,-6.64,1.74
-0.28,-0.93,0.17,-0.15,-6.31,-2.23
-0.27,-0.93,0.15,-3.65,-9.86,0.13
-0.29,-0.93,0.18,-0.51,-3.07,-2.02
-0.27,-0.94,0.15,-5.87,-9.57,2
-0.3,-0.93,0.16,-1.78,-0.57,-0.36
-0.25,-0.95,0.17,-5.72,-9.84,1.6
-0.29,-0.92,0.16,-0.94,-0.6,-1.13
-0.39,-0.92,0.18,-0.41,-4.93,4.42
-0.46,-0.89,0.16,-2.77,-12.2,28.42
-0.59,-0.96,0.18,-5.81,-30.18,49.75
-0.73,-0.89,0.18,-0.49,-57.78,95.38
-0.8,-0.85,0.28,7.12,-89.4,132.2
-1.15,-0.76,0.49,47.08,-83.89,179.88
-1.13,-0.76,0.5,84.29,-109.99,220.19
-1.13,-0.58,0.51,83.34,-77.72,240.28
-1.02,-0.44,0.65,74.01,-68.76,226.42
-1.05,-0.29,0.84,90.97,-29.38,204.42
-0.88,-0.12,0.78,100.19,-9.51,185.67
-0.89,0.06,0.74,99.83,-7.31,157.58
-0.65,0.2,0.51,115.68,-10.21,177.86
-0.53,0.32,0.41,95.54,-12.79,154.13
-0.45,0.48,0.25,113.65,28.52,139.39
-0.15,0.54,0.19,75.09,1.72,139.14
-0.21,0.67,0.17,75.61,55.44,119.13
0.04,0.64,0.08,43.83,5.31,111.49
0.1,0.75,0.19,48.46,70.7,89.79
0.23,0.76,0.21,37.33,18.87,74.93
0.3,0.82,0.02,54.91,12.57,64.32
0.55,0.79,-0.17,33.05,-9.44,79.01
0.61,0.81,-0.13,14.32,41.6,31.88
0.62,0.85,-0.16,-6.86,22.34,15.1
0.58,0.91,-0.11,-17.17,11.64,-8.71
0.41,0.99,-0.08,-14.01,17.59,-21.32
0.32,1.01,0.01,-14.52,1.26,-8.87
0.37,0.98,0.04,-1.96,1.05,-8.42
0.37,0.96,0.04,1.6,-5.93,-6.64
0.32,1,-0.04,3.44,-2.99,-1.51
0.36,0.97,0,2.44,-3.11,3.08
0.38,0.96,-0.02,3.59,-2.67,-0.4
0.35,0.95,-0.03,1.51,-4.77,0.67
0.35,0.96,-0.02,-2.24,-11.5,-2.06
0.35,0.95,-0.03,0.59,-5.17,-1.19
0.34,0.96,-0.02,2.01,-0.38,2.45
0.36,0.96,-0.04,-3.14,-5.58,3.55
0.37,0.96,-0.01,-5.03,-8.04,1.52
0.34,0.97,-0.02,-3.12,-4.51,0.68
0.35,0.97,-0.01,-1.94,-7.16,-1.75
0.34,0.97,-0.02,0.51,-4.44,-1.12
0.35,0.97,-0.04,2.77,0.18,1.48
0.36,0.96,-0.02,-2.29,-5.79,0.71
0.37,0.95,-0.02,0.83,0.05,-1.03
0.37,0.95,-0.03,-0.07,-5.35,-1.42
0.35,0.96,-0.03,-1.13,-1.46,-2.55
0.35,0.97,-0.04,0.6,-2.21,-4.52
0.35,0.98,-0.06,1.58,3.08,-2.32
0.35,0.96,-0.02,-2.66,-2.11,-0.26
0.36,0.96,-0.02,0.51,-5.92,-1.32
0.34,0.97,-0.03,0.03,-2.13,-1.58
0.34,0.96,-0.04,-1.78,-6.21,-0.57
-0.22,-0.94,0.19,-1.78,-8.6,3.66
-0.22,-0.96,0.21,-1.25,-0.3,2.2
-0.22,-0.96,0.19,-3.16,-19.28,7.84
-0.12,-0.99,0.17,-2.49,-3.93,-3.67
-0.25,-0.94,0.23,4.38,4.82,-6.06
-0.23,-0.96,0.19,-6.32,-3.54,7.55
-0.15,-0.95,0.24,-5.78,-8.4,6.33
-0.17,-0.96,0.24,3.32,-2.01,-8.96
-0.26,-0.94,0.23,1.6,0.92,-0.25
-0.19,-0.95,0.22,3.2,6.85,-3.23
-0.2,-0.94,0.28,15.51,52.28,-25.28
-0.56,-0.74,0.16,23.55,3.07,-3.97
-0.73,-0.94,0.02,1.16,4.85,53.53
-0.78,-1,0.09,-35.68,-29.92,119.88
-0.93,-0.98,0.26,-29.33,-94.37,171.34
-0.96,-1.01,0.39,6.87,-107.26,214.13
-0.98,-0.97,0.61,42.23,-86.1,234.46
-1.08,-0.81,0.65,73.72,-114.21,243.55
-0.99,-0.64,0.63,103.98,-83.55,230
-0.95,-0.43,0.6,102.51,-113.06,233.16
-0.9,-0.24,0.69,95.93,-89.99,201.6
-0.68,-0.03,0.55,136.79,-17.15,180.29
-0.6,0.16,0.52,106.26,-48.86,176.15
-0.4,0.38,0.45,119.87,75.53,134.04
-0.21,0.47,0.38,78.73,13.6,145.83
-0.1,0.59,0.32,75.8,38.52,110.45
0.02,0.66,0.25,54.31,16.13,104.17
0.07,0.75,0.28,55.28,59.69,74.98
0.2,0.79,0.21,38.15,12.89,75.29
0.19,0.85,0.11,45.8,66.8,48.13
0.26,0.87,0.02,37.47,58.24,53.49
0.34,0.93,0.08,1.19,19.34,36.1
0.38,0.95,0.09,7.48,26.8,23.04
0.41,0.95,0.1,-2.14,7.02,10.89
0.4,0.96,0.01,14.67,5.41,-1.57
0.35,1,-0.04,-1.71,3.31,-8.4
0.29,1,0,-7.39,8.68,-9.53
0.24,1.01,0.11,-13.94,-3.46,-4.56
0.23,1,0.12,-2.09,-1.36,-3.82
0.24,1,0.07,1.37,-12.12,-1.48
0.23,1,0.06,-1.84,-8.11,-1.03
0.24,1,0.06,1.77,-10.37,-1.03
0.23,0.99,0.09,-2.13,-7.81,-1.18
0.22,0.98,0.1,0.93,-8.23,-1.85
0.22,1,0.08,-2.26,-10.34,-1.21
0.23,1,0.07,-1.34,-7.24,-1.57
0.23,1,0.06,-1.75,-8.95,-0.84
0.23,1,0.06,-3.34,-3.67,-2.17
0.25,1,0.09,-4.51,-6.49,-3.31
0.23,0.99,0.07,-2.8,-2.74,-6.46
0.26,0.96,0.06,-3.95,7.66,-6.11
0.25,0.96,0.02,-21.78,-3.8,-14.21
0.23,1,0.1,-24.13,1.89,-17.68
0.13,1.04,0.19,-23.41,-26.09,-8.97
0.07,1.04,0.23,-3.75,-4.29,3.23
0.13,1.01,0.18,6.81,-12.61,4.3
0.15,0.99,0.12,9.34,-0.52,1.87
