AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.72,-0.61,0.1,-26.3,-72.33,4.33
-0.59,-0.71,0.51,-25.71,86.69,-48.63
-0.67,-1.05,-0.06,-50.78,16.37,-85.23
-0.63,-0.82,0,-64.19,35.83,-84.36
-0.32,-0.72,-0.2,-18.37,-67.19,-96.94
-0.22,-1.05,-0.11,5.36,-35.97,-47.06
-0.17,-1.03,0.2,2.59,-30.22,-93.61
-0.18,-0.72,0.43,-9.5,-42.55,-2.26
-0.18,-0.86,0.12,-7.15,-29.97,-2.1
-0.22,-0.88,0.04,-11.88,-14.48,4.71
-0.36,-0.92,0.14,-25.54,-42.3,4.9
-0.39,-1.04,0.17,-26.72,-42.54,2.53
-0.41,-1.13,0.14,-22.84,-34.92,7.71
-0.41,-1.26,0.17,-13.45,-2.15,22.47
-0.26,-0.64,0.16,33.67,23.14,29.35
-0.27,-0.7,-0.11,5.35,-78.47,46.6
-0.1,-1.15,0.09,-27.23,-10.79,33.45
-0.36,-0.82,0.13,7.6,-0.34,-13.8
-0.24,-0.64,-0.14,33.43,-68.82,16.22
-0.16,-0.84,-0.06,-46.44,-46.23,9.46
-0.36,-0.95,0.14,-4.46,-21.37,-14.37
-0.45,-0.95,0.08,12.7,-25.43,-22.98
-0.4,-1.07,0.12,-28.42,-63.25,8.23
-0.32,-1.26,0.1,-11.74,-16.27,-16.81
-0.37,-0.81,-0.08,-15.08,-3.02,-21.79
-0.19,-0.9,0.11,-3.97,-43.78,38.19
-0.1,-1.11,0.07,2.51,-7.12,2.42
-0.36,-0.97,0.18,-0.5,42.55,-26.93
-0.42,-0.75,0,3.09,-32.92,-0.65
-0.17,-0.8,-0.02,-6.99,-31.33,13.31
-0.26,-0.82,0.07,-31.68,8.88,-1.24
-0.42,-1.04,0.09,-39.97,-0.98,5.88
-0.31,-1.27,0.2,-41.22,-58.35,14.16
-0.19,-1.22,0.25,-18.42,-50.08,2.7
-0.21,-0.6,0.14,16.46,2.52,-3.3
-0.22,-1.01,-0.12,-16.41,-63.5,37.32
-0.19,-0.94,0.1,-12.97,-61.24,-17.84
-0.4,-0.77,0.01,-8.55,-72.57,-6.23
-0.32,-0.8,-0.03,-11.45,-54.05,11.6
-0.39,-0.93,-0.01,-18,-44.94,-5.46
-0.46,-0.91,0.01,-11.41,-45.95,-9.23
-0.51,-0.93,-0.03,-3.01,-26.89,8.34
-0.42,-1.18,-0.05,-16.05,-76.44,11.9
-0.42,-1.01,0.12,0.54,-37.69,-22.13
-0.33,-0.78,0.08,-8.36,-48.05,21.97
-0.05,-1.1,0.12,-33.05,-41.2,12.9
-0.26,-0.9,0.29,-4.71,65.34,-26.95
-0.36,-0.74,0.01,8.82,-22.14,2.13
-0.12,-0.86,0.09,-14.46,-57.21,9.03
-0.22,-0.85,0.13,14.79,-23.48,-27.54
-0.41,-0.99,0.04,-33.99,-16.89,-14.71
-0.38,-1.11,0.2,-44.36,-44.41,8.16
-0.28,-1.3,0.23,-35.36,-62.65,21.3
-0.2,-0.71,0.22,17.72,-53.39,-9.59
-0.22,-0.84,-0.06,-3.44,-98.69,33.79
-0.02,-1.02,0.16,-31.29,-51.34,9.19
-0.24,-0.79,0.16,4.19,-29.77,-24.41
-0.36,-0.81,-0.04,-1.89,-49.98,-20.87
-0.37,-0.92,0.07,-15.26,-34.5,-0.77
-0.44,-1.04,0.1,-4.31,-39.5,-3.4
-0.47,-1.03,0.01,-4.95,-48.24,5.85
-0.44,-1.17,0.02,-24.36,-50.55,23.55
-0.34,-0.94,0.15,-9.26,-33.24,12.76
-0.13,-0.9,0,-15.23,-89.49,40.42
-0.12,-0.99,0.19,-16.75,21.62,11.46
-0.21,-0.91,0.27,-17.52,9.57,15.55
-0.16,-0.79,0.12,-9.68,-37.43,5.21
-0.17,-0.75,0.14,-17.81,-18.38,7.15
-0.3,-0.86,0.11,-24.17,-29.13,-13.62
